2	终谷冬	1	中国语言文	20	1999.7	18282878288	26
3	班白易	0	信息与通信工程	23	1996.4	18291137812	25
7	蓬沛珊	0	学类	24	1995.10	18282135521	66
8	山从彤	1	舞蹈学	19	2000.2	18281388511	94
9	佟幽兰	1	绘画	19	2000.1	18296395570	75
12	仲从南	1	汉语言	23	1996.11	18271714646	37
13	冀青寒	0	作曲与作曲技术理论	19	2000.10	18249499527	43
15	聂冰萍	1	类	24	1995.5	18231743232	97
19	钟离秋翠	0	电子科学与技术	19	2000.10	18242171667	76
20	叶笑霜	0	通信工程	20	1999.4	18285144607	64
21	段韵寒	0	学类	24	1995.6	18269266935	16
23	虞秋翠	0	对外汉语	21	1998.10	18294461260	84
27	佘初丹	1	广播电视新闻学	23	1996.11	18218990905	46
28	仲孙飞风	1	中国少数民族语言文学	20	1999.4	18290504259	9
32	公怜菡	0	电气信息工程	22	1997.6	18292310855	63
35	彭映秋	0	舞蹈学	23	1996.7	18213854493	7
39	滕忆山	1	自动化	18	2001.4	18223471590	41
43	阮笑蓝	1	光电信息工程	18	2001.8	18256806364	17
45	阙盼柳	1	绘画	23	1996.9	18290460965	42
49	尹夏彤	1	中国语言文	24	1995.12	18240230025	91
51	郁紫寒	1	数字媒体技术	21	1998.9	18263880228	44
52	晁寄凡	1	对外汉语	21	1998.6	18291942568	53
54	郝紫真	1	电气信息工程	21	1998.6	18260034062	66
57	郗秋春	0	作曲与作曲技术理论	24	1995.6	18297604647	71
61	嵇慕灵	0	学类	20	1999.7	18265495043	95
64	寿冰露	1	数字媒体艺术	18	2001.3	18279809235	94
65	公良谷冬	0	电气工程及其自动化	22	1997.3	18241792568	100
68	蓬香巧	1	雕塑	20	1999.10	18285005004	97
72	查千兰	1	广播电视工程	18	2001.7	18247873417	67
73	申屠忆山	0	外国语言文	21	1998.3	18281016046	67
77	嵇友蕊	0	艺术设计学	23	1996.5	18233865687	99
78	颜映波	0	汉语言文学	24	1995.9	18255027250	77
82	方建国	0	微电子学	22	1997.4	18227861515	81
85	璩觅海	0	艺术设计	21	1998.10	18250782724	17
89	柴千琴	0	汉语言文学	23	1996.12	18282308085	24
